Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0031866,0.0024622,0.077211,0,0,0,9.7803,0.18381,1.931E-05,0.011015,0.17379,-0.00094559,0.03729,0,0,0,0,0,0,package://y4aurdf20250827/meshes/base_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/base_link.STL,,base-1/Y4A-30201 裆部构件-1;base-1/Y4A-30202 机身旋转轴-1;base-1/Y4A-22201 腰部固定架-1;base-1/机身组件错开面-1/机身组件拼接-1/Y4A-21202 机身底板-2;base-1/机身组件错开面-1/机身组件拼接-1/Y4A-21203 机身左侧板-1;base-1/机身组件错开面-1/机身组件拼接-1/Y4A-21204 机身右侧板-1;base-1/机身组件错开面-1/机身组件拼接-1/Y4A-21208 机身顶板-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_pitch_link,-0.0054598,-0.080931,-0.00096148,0,0,0,1.8053,0.0039992,-5.173E-05,0.00015498,0.0028718,-1.736E-05,0.0031397,0,0,0,0,0,0,package://y4aurdf20250827/meshes/right_hip_pitch_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/right_hip_pitch_link.STL,,right_hip_pitch-1/Y4A-30206 髋关节电机连接-1;right_hip_pitch-1/Y4A-30207 髋关节电机连接2-1,right_hip_pitch_coordinate,right_hip_pitch_axis,right_hip_pitch_joint,revolute,0.0055,-0.05745,-0.069,0,0,0,base_link,0,-1,0,90,16.441,-3.0543,2.3562,,,,,,,,
right_hip_roll_link,-0.029835,0.00047888,-0.20347,0,0,0,3.1782,0.044726,1.119E-05,-0.0018555,0.046142,0.00016232,0.0055004,0,0,0,0,0,0,package://y4aurdf20250827/meshes/right_hip_roll_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/right_hip_roll_link.STL,,right_hip_roll-1/Y4A-30210 大腿-1;right_hip_roll-1/right_hip_yaw-1/Y4A-30212 腿部支撑件-1;right_hip_roll-1/right_hip_yaw-1/Y4A-30213 大腿主体-1,right_hip_roll_coordinate,right_hip_roll_axis,right_hip_roll_joint,revolute,0.03048,-0.08605,0.0053744,0,-0.17453,0,right_hip_pitch_link,1,0,0,90,14.661,-1.7453,0.2618,,,,,,,,
right_knee_link,-0.026177,0.034694,-0.18407,0,0,0,1.5128,0.024367,0.00020282,-0.0044602,0.025409,0.0011184,0.0029117,0,0,0,0,0,0,package://y4aurdf20250827/meshes/right_knee_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/right_knee_link.STL,,right_knee-1/Y4A-30216 小腿骨架1-2;right_knee-1/Y4A-30217 小腿骨架2-1,right_knee_coordinate,right_knee_axis,right_knee_joint,revolute,-0.03445,-0.03495,-0.3,0,0.17453,0,right_hip_roll_link,0,-1,0,130,14.661,-2.1991,0.33161,,,,,,,,
right_wheel_link,5.78E-06,-0.024484,3.714E-05,0,0,0,0.94045,0.0023019,-2E-08,5E-08,0.0043825,-1.1E-07,0.0023022,0,0,0,0,0,0,package://y4aurdf20250827/meshes/right_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/right_wheel_link.STL,,right_wheel-1/包胶轮（定制）-1/200X30（ZALNR080105  75A）带法兰键槽12-周孔47.stp[2]-1;right_wheel-1/Y4A-30403 轮轴1-1;right_wheel-1/Y4A-30222 轮毂固定轴-1,right_wheel_coordinate,right_wheel_axis,right_wheel_joint,revolute,-0.052094,0.01245,-0.29544,0,0,0,right_knee_link,0,-1,0,60,15.603,-10000000,10000000,,,,,,,,
left_hip_pitch_link,-0.0054202,0.080914,-0.00093706,0,0,0,1.801,0.0039907,5.211E-05,0.00015616,0.0028771,1.133E-05,0.0031257,0,0,0,0,0,0,package://y4aurdf20250827/meshes/left_hip_pitch_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/left_hip_pitch_link.STL,,left_hip_pitch-1/Y4A-30207 髋关节电机连接2-1;left_hip_pitch-1/Y4A-30206 髋关节电机连接-1,left_hip_pitch_coordinate,left_hip_pitch_axis,left_hip_pitch_joint,revolute,0.0055,0.05745,-0.069,0,0,0,base_link,0,1,0,90,16.441,-2.3562,3.0543,,,,,,,,
left_hip_roll_link,-0.029905,-0.0004783,-0.20363,0,0,0,3.1782,0.044826,-1.66E-05,-0.0018788,0.046243,-0.00017433,0.005502,0,0,0,0,0,0,package://y4aurdf20250827/meshes/left_hip_roll_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/left_hip_roll_link.STL,,left_hip_roll-1/Y4A-30210 大腿-1;left_hip_roll-1/left_hip_yaw-1/Y4A-30212 腿部支撑件-1;left_hip_roll-1/left_hip_yaw-1/Y4A-30223 镜向大腿-1,left_hip_roll_coordinate,left_hip_roll_axis,left_hip_roll_joint,revolute,0.03048,0.08605,0.0053744,0,-0.17453,0,left_hip_pitch_link,1,0,0,90,14.661,-0.2618,1.7453,,,,,,,,
left_knee_link,-0.026177,-0.034696,-0.18407,0,0,0,1.5128,0.024367,-0.00020283,-0.0044602,0.025409,-0.0011184,0.0029116,0,0,0,0,0,0,package://y4aurdf20250827/meshes/left_knee_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/left_knee_link.STL,,left_knee-1/Y4A-30218 镜向小腿骨架1-1;left_knee-1/Y4A-30219 镜向小腿骨架2-1,left_knee_coordinate,left_knee_axis,left_knee_joint,revolute,-0.03445,0.03495,-0.3,0,0.17453,0,left_hip_roll_link,0,1,0,130,14.661,-0.33161,2.1991,,,,,,,,
left_wheel_link,-3.395E-05,0.024484,-1.108E-05,0,0,0,0.94045,0.0023021,-1E-07,1.1E-07,0.0043825,-4E-08,0.0023019,0,0,0,0,0,0,package://y4aurdf20250827/meshes/left_wheel_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://y4aurdf20250827/meshes/left_wheel_link.STL,,left_wheel-1/Y4A-30222 轮毂固定轴-1;left_wheel-1/Y4A-30403 轮轴1-1;left_wheel-1/包胶轮（定制）-1/200X30（ZALNR080105  75A）带法兰键槽12-周孔47.stp[2]-1,left_wheel_coordinate,left_wheel_axis,left_wheel_joint,revolute,-0.052094,-0.01245,-0.29544,0,0,0,left_knee_link,0,1,0,60,15.603,-10000000,10000000,,,,,,,,
