Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.001149,0.000468,0.011577,0,0,0,8.8261,0.11273,0.000393,0.020945,0.097573,-0.000565,0.086961,0,0,0,0,0,0,package://l5aurdf20260209/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/base_link.STL,,base-1/L5A-01201 侧摆底座-1;base-1/机身组件扁-1/L5A-01205 机身壳体-1;base-1/L5A-01202 机身前盖-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_roll_Link,-0.068519,0.040856,6.9E-05,0,0,0,1.0842,0.001197,0.000304,1E-06,0.001992,0,0.001682,0,0,0,0,0,0,package://l5aurdf20260209/meshes/left_hip_roll_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/left_hip_roll_Link.STL,,left_hip_roll_Link-1/L5A-02201 髋关节底座-1;left_hip_roll_Link-1/L5A-02501 电机模组接线盖子-1,left_hip_roll_coordinate,left_hip_roll_axis,left_hip_roll_joint,revolute,0.032,0.105,-0.105,0,0,0,base_link,1,0,0,90,16.433,-1.396,0.384,,,,,,,,
left_hip_pitch_Link,-0.029711,-0.060853,-0.040067,0,0,0,1.8134,0.014746,0.001456,-0.007619,0.019147,0.001952,0.008009,0,0,0,0,0,0,package://l5aurdf20260209/meshes/left_hip_pitch_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/left_hip_pitch_Link.STL,,left_hip_pitch_Link-1/L5A-02202 左腿驱干-1;left_hip_pitch_Link-1/L5A-02203 大腿驱干2-1;left_hip_pitch_Link-1/左腿连杆组件-1/L5A-02206 大腿连杆-1;left_hip_pitch_Link-1/左腿连杆组件-1/L5A-02204 左腿曲柄端盖-1;left_hip_pitch_Link-1/左腿连杆组件-1/L5A-02205 左腿曲柄连杆-1,left_hip_pitch_coordinate,left_hip_pitch_axis,left_hip_pitch_joint,revolute,-0.078,0.0335,0,0,0,0,left_hip_roll_Link,0,1,0,90,16.433,-1.012,1.396,,,,,,,,
left_knee_Link,0.13664,0.002069,-0.23505,0,0,0,1.5439,0.01446,-1.5E-05,0.007513,0.019461,2.6E-05,0.0055,0,0,0,0,0,0,package://l5aurdf20260209/meshes/left_knee_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/left_knee_Link.STL,,left_knee_Link-1/L5A-02207 左小腿骨架-1;left_knee_Link-1/L5A-02209 小腿骨架轮端-1,left_knee_coordinate,left_knee_axis,left_knee_joint,revolute,-0.1675,-0.0335,-0.2295,0,0,0,left_hip_pitch_Link,0,1,0,130,14.653,-0.262,1.309,,,,,,,,
left_wheel_Link,2E-06,0.036338,0,0,0,0,1.35,0.00596,0,0,0.011283,0,0.00596,0,0,0,0,0,0,package://l5aurdf20260209/meshes/left_wheel_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/left_wheel_Link.STL,,left_wheel_Link-1/L5A-02403 10寸法兰件-1;left_wheel_Link-1/10寸轮毂-1;left_wheel_Link-1/10寸轮胎-1,left_wheel_coordinate,left_wheel_axis,left_wheel_joint,revolute,0.1675,0.0135,-0.29012,0,0,0,left_knee_Link,0,1,0,90,16.433,-6.283,6.283,,,,,,,,
right_hip_roll_Link,-0.067979,-0.040554,-6.7E-05,0,0,0,1.1148,0.001252,-0.000338,-1E-06,0.002091,0,0.001796,0,0,0,0,0,0,package://l5aurdf20260209/meshes/right_hip_roll_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/right_hip_roll_Link.STL,,right_hip_roll_Link-1/L5A-02201 髋关节底座-1;right_hip_roll_Link-1/L5A-02501 电机模组接线盖子-1,right_hip_roll_coordinate,right_hip_roll_axis,right_hip_roll_joint,revolute,0.032,-0.105,-0.105,0,0,0,base_link,-1,0,0,90,16.433,-0.384,1.396,,,,,,,,
right_hip_pitch_Link,-0.029441,0.060837,-0.039823,0,0,0,1.8264,0.014762,-0.001456,-0.007638,0.019188,-0.001953,0.008027,0,0,0,0,0,0,package://l5aurdf20260209/meshes/right_hip_pitch_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/right_hip_pitch_Link.STL,,right_hip_pitch_Link-1/L5A-03203 镜向大腿驱干2-3;right_hip_pitch_Link-1/右腿连杆组件-1/L5A-02205 左腿曲柄连杆-1;right_hip_pitch_Link-1/右腿连杆组件-1/L5A-02204 左腿曲柄端盖-1;right_hip_pitch_Link-1/右腿连杆组件-1/L5A-02206 大腿连杆-1;right_hip_pitch_Link-1/L5A-03202 镜向左腿驱干-7,right_hip_pitch_coordinate,right_hip_pitch_axis,right_hip_pitch_joint,revolute,-0.078,-0.0335,0,0,0,0,right_hip_roll_Link,0,1,0,90,16.433,-1.396,1.012,,,,,,,,
right_knee_Link,0.14279,-0.002434,-0.24622,0,0,0,1.2578,0.01117,6.2E-05,0.005788,0.014987,-0.000108,0.004347,0,0,0,0,0,0,package://l5aurdf20260209/meshes/right_knee_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/right_knee_Link.STL,,right_knee_Link-1/右小腿骨架-1/L5A-03207 镜向右小腿骨架-3;right_knee_Link-1/右轮端组件-1/右小腿骨架轮端-1/L5A-03209 镜向小腿骨架轮端-2,right_knee_coordinate,right_knee_axis,right_knee_joint,revolute,-0.1675,0.0335,-0.2295,0,0,0,right_hip_pitch_Link,0,1,0,130,14.653,-1.309,0.262,,,,,,,,
right_wheel_Link,0,-0.036338,2E-06,0,0,0,1.35,0.00596,0,0,0.011283,0,0.00596,0,0,0,0,0,0,package://l5aurdf20260209/meshes/right_wheel_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260209/meshes/right_wheel_Link.STL,,right_wheel_Link-1/L5A-02403 10寸法兰件-1;right_wheel_Link-1/10寸轮毂-1;right_wheel_Link-1/10寸轮胎-1,right_wheel_coordinate,right_wheel_axis,right_wheel_joint,revolute,0.1675,-0.0135,-0.29012,0,0,0,right_knee_Link,0,1,0,90,16.433,-6.283,6.283,,,,,,,,
