Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.057921,0.000679,0.013437,0,0,0,9.6101,0.12573,0.0005,0.027108,0.11618,-0.000592,0.10822,0,0,0,0,0,0,package://l5aurdf20260521/meshes/base_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/base_link.STL,,L5A-01000 底座组件-1/机身组件扁-1/L5A-01205 机身壳体-1;L5A-01000 底座组件-1/L5A-01201 侧摆底座-1;L5A-01000 底座组件-1/L5A-01202 机身前盖-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_roll_link,-0.067435,0.052643,-3.2E-05,0,0,0,1.2052,0.001653,0.000623,0,0.002402,1E-06,0.002368,0,0,0,0,0,0,package://l5aurdf20260521/meshes/left_hip_roll_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/left_hip_roll_link.STL,,L5A-02001 躯干组件-3/L5A-02201 髋关节底座-1,left_hip_roll_coordinate,left_hip_roll_axis,left_hip_roll_joint,revolute,-0.027,0.105,-0.1017,0,0,0,base_link,1,0,0,90,16.433,-1.396,0.384,,,,,,,,
left_hip_pitch_link,-0.032261,-0.059213,-0.041738,0,0,0,2.294,0.017999,0.001578,-0.009529,0.023509,0.002039,0.009994,0,0,0,0,0,0,package://l5aurdf20260521/meshes/left_hip_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/left_hip_pitch_link.STL,,L5A-02002 左大腿组件^总装-1/大腿组件左腿-1/L5A-02202 左腿驱干-1;L5A-02002 左大腿组件^总装-1/大腿组件左腿-1/L5A-02203 大腿驱干2-1,left_hip_pitch_coordinate,left_hip_pitch_axis,left_hip_pitch_joint,revolute,-0.08,0.0375,0,0,0,0,left_hip_roll_link,0,1,0,90,16.433,-0.908,1.396,,,,,,,,
left_knee_link,0.11397,-0.00529,-0.19558,0,0,0,1.6802,0.017804,0.000397,0.009364,0.023805,-0.000707,0.006727,0,0,0,0,0,0,package://l5aurdf20260521/meshes/left_knee_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/left_knee_link.STL,,L5A-02003 左小腿组件-1/L5A-02207 左小腿骨架-1;L5A-02003 左小腿组件-1/L5A-02209 小腿骨架轮端-1,left_knee_coordinate,left_knee_axis,left_knee_joint,revolute,-0.15,-0.0375,-0.25981,0,0,0,left_hip_pitch_link,0,1,0,130,14.653,-0.262,1.309,,,,,,,,
left_wheel_link,0,0.03878,2E-06,0,0,0,1.5825,0.006787,0,0,0.012709,0,0.006786,0,0,0,0,0,0,package://l5aurdf20260521/meshes/left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/left_wheel_link.STL,,L5A-02004 轮端组件-1/L5A-02403 10寸法兰件-1;L5A-02004 轮端组件-1/10寸充气轮胎组件-1/10寸轮毂-1;L5A-02004 轮端组件-1/10寸充气轮胎组件-1/10寸轮胎-1,left_wheel_coordinate,left_wheel_axis,left_wheel_joint,revolute,0.15,0.0135,-0.25981,0,0,0,left_knee_link,0,1,0,90,16.433,-1000000,1000000,,,,,,,,
right_hip_roll_link,-0.067435,-0.052643,3.2E-05,0,0,0,1.2052,0.001653,-0.000623,0,0.002402,1E-06,0.002368,0,0,0,0,0,0,package://l5aurdf20260521/meshes/right_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/right_hip_roll_link.STL,,L5A-02001 躯干组件-4/L5A-02201 髋关节底座-1,right_hip_roll_coordinate,right_hip_roll_axis,right_hip_roll_joint,revolute,-0.027,-0.105,-0.1017,0,0,0,base_link,1,0,0,90,16.433,-0.384,1.396,,,,,,,,
right_hip_pitch_link,-0.026447,0.059888,-0.032975,0,0,0,2.8399,0.019286,-0.001629,-0.010145,0.025049,-0.002114,0.010722,0,0,0,0,0,0,package://l5aurdf20260521/meshes/right_hip_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/right_hip_pitch_link.STL,,L5A-03002 右大腿组件^总装-1/大腿组件右腿-1/L5A-03202 镜向左腿驱干-7;L5A-03002 右大腿组件^总装-1/大腿组件右腿-1/L5A-03203 镜向大腿驱干2-3,right_hip_pitch_coordinate,right_hip_pitch_axis,right_hip_pitch_joint,revolute,-0.08,-0.0375,0,0,0,0,right_hip_roll_link,0,1,0,90,16.433,-1.396,0.908,,,,,,,,
right_knee_link,0.11394,0.005271,-0.19561,0,0,0,1.6815,0.017787,-0.000395,0.009345,0.023772,0.000707,0.006713,0,0,0,0,0,0,package://l5aurdf20260521/meshes/right_knee_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/right_knee_link.STL,,右小腿组件-1/右小腿骨架-1/L5A-03207 镜向右小腿骨架-3;右小腿组件-1/右小腿骨架轮端-1/L5A-03209 镜向小腿骨架轮端-2,right_knee_coordinate,right_knee_axis,right_knee_joint,revolute,-0.15,0.0375,-0.25981,0,0,0,right_hip_pitch_link,0,1,0,130,14.653,-1.309,0.262,,,,,,,,
right_wheel_link,-2E-06,-0.038778,0,0,0,0,1.5838,0.006787,0,0,0.01271,0,0.006787,0,0,0,0,0,0,package://l5aurdf20260521/meshes/right_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://l5aurdf20260521/meshes/right_wheel_link.STL,,右轮端组件-1/10寸充气轮胎组件-1/10寸轮毂-1;右轮端组件-1/10寸充气轮胎组件-1/10寸轮胎-1;右轮端组件-1/L5A-02403 10寸法兰件-1,right_wheel_coordinate,right_wheel_axis,right_wheel_joint,revolute,0.15,-0.0135,-0.25981,0,0,0,right_knee_link,0,1,0,90,16.433,-1000000,1000000,,,,,,,,
