Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.064916,0.000571,0.016569,0,0,0,9.3697,0.12046,0.000388,0.024959,0.10619,-0.000546,0.096519,0,0,0,0,0,0,package://l5aurdf20260420/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/base_link.STL,,base-1/L5A-01201 侧摆底座-1;base-1/机身组件扁-1/L5A-01205 机身壳体-1;base-1/L5A-01202 机身前盖-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_roll_Link,-0.068584,0.052295,-3.5E-05,0,0,0,1.0844,0.001348,0.000422,0,0.001995,1E-06,0.001834,0,0,0,0,0,0,package://l5aurdf20260420/meshes/left_hip_roll_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/left_hip_roll_Link.STL,,left_hip_roll_Link-1/L5A-02201 髋关节底座-1;left_hip_roll_Link-1/L5A-02501 电机模组接线盖子-1,left_hip_roll_coordinate,left_hip_roll_axis,left_hip_roll_joint,revolute,-0.0345,0.1052,-0.1012,0,0,0,base_link,1,0,0,90,16.433,-1.396,0.384,,,,,,,,
left_hip_pitch_Link,-0.02944,-0.057403,-0.039756,0,0,0,2.1691,0.017106,0.001386,-0.008907,0.022273,0.001855,0.009222,0,0,0,0,0,0,package://l5aurdf20260420/meshes/left_hip_pitch_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/left_hip_pitch_Link.STL,,left_hip_pitch_Link-1/L5A-02202 左腿驱干-1;left_hip_pitch_Link-1/L5A-02203 大腿驱干2-1;left_hip_pitch_Link-1/左腿连杆组件-1/L5A-02206 大腿连杆-1;left_hip_pitch_Link-1/左腿连杆组件-1/L5A-02204 左腿曲柄端盖-1;left_hip_pitch_Link-1/左腿连杆组件-1/L5A-02205 左腿曲柄连杆-1,left_hip_pitch_coordinate,left_hip_pitch_axis,left_hip_pitch_joint,revolute,-0.078,0.0335,0,0,0,0,left_hip_roll_Link,0,1,0,90,16.433,-1.012,1.396,,,,,,,,
left_knee_Link,0.136676,-0.005962,-0.23497,0,0,0,1.5439,0.014539,0.000368,0.007513,0.019453,-0.000657,0.005596,0,0,0,0,0,0,package://l5aurdf20260420/meshes/left_knee_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/left_knee_Link.STL,,left_knee_Link-1/L5A-02207 左小腿骨架-1;left_knee_Link-1/L5A-02209 小腿骨架轮端-1,left_knee_coordinate,left_knee_axis,left_knee_joint,revolute,-0.1675,-0.0335,-0.2295,0,0,0,left_hip_pitch_Link,0,1,0,130,14.653,-0.262,1.309,,,,,,,,
left_wheel_Link,1E-06,0.033151,0,0,0,0,1.6822,0.007528,0,0,0.014281,0,0.007528,0,0,0,0,0,0,package://l5aurdf20260420/meshes/left_wheel_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/left_wheel_Link.STL,,left_wheel_Link-1/L5A-02403 10寸法兰件-1;left_wheel_Link-1/10寸轮毂-1;left_wheel_Link-1/10寸轮胎-1,left_wheel_coordinate,left_wheel_axis,left_wheel_joint,revolute,0.1675,0.0135,-0.29012,0,0,0,left_knee_Link,0,1,0,90,16.433,-1000000,1000000,,,,,,,,
right_hip_roll_Link,-0.068042,-0.051679,3.4E-05,0,0,0,1.115,0.001414,-0.000461,0,0.002094,1E-06,0.00196,0,0,0,0,0,0,package://l5aurdf20260420/meshes/right_hip_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/right_hip_roll_Link.STL,,right_hip_roll_Link-1/L5A-02201 髋关节底座-1;right_hip_roll_Link-1/L5A-02501 电机模组接线盖子-1,right_hip_roll_coordinate,right_hip_roll_axis,right_hip_roll_joint,revolute,-0.0345,-0.1048,-0.1012,0,0,0,base_link,1,0,0,90,16.433,-0.384,1.396,,,,,,,,
right_hip_pitch_Link,-0.029237,0.057398,-0.039584,0,0,0,2.1831,0.017136,-0.001388,-0.008934,0.022334,-0.001856,0.009248,0,0,0,0,0,0,package://l5aurdf20260420/meshes/right_hip_pitch_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/right_hip_pitch_Link.STL,,right_hip_pitch_Link-1/L5A-03203 镜向大腿驱干2-3;right_hip_pitch_Link-1/右腿连杆组件-1/L5A-02205 左腿曲柄连杆-1;right_hip_pitch_Link-1/右腿连杆组件-1/L5A-02204 左腿曲柄端盖-1;right_hip_pitch_Link-1/右腿连杆组件-1/L5A-02206 大腿连杆-1;right_hip_pitch_Link-1/L5A-03202 镜向左腿驱干-7,right_hip_pitch_coordinate,right_hip_pitch_axis,right_hip_pitch_joint,revolute,-0.078,-0.0335,0,0,0,0,right_hip_roll_Link,0,1,0,90,16.433,-1.396,1.012,,,,,,,,
right_knee_Link,0.14268,0.007424,-0.24621,0,0,0,1.2578,0.011248,-0.000246,0.005782,0.014981,0.000437,0.004419,0,0,0,0,0,0,package://l5aurdf20260420/meshes/right_knee_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/right_knee_Link.STL,,right_knee_Link-1/右小腿骨架-1/L5A-03207 镜向右小腿骨架-3;right_knee_Link-1/右轮端组件-1/右小腿骨架轮端-1/L5A-03209 镜向小腿骨架轮端-2,right_knee_coordinate,right_knee_axis,right_knee_joint,revolute,-0.1675,0.0335,-0.2295,0,0,0,right_hip_pitch_Link,0,1,0,130,14.653,-1.309,0.262,,,,,,,,
right_wheel_Link,0,-0.033151,1E-06,0,0,0,1.6822,0.007528,0,0,0.014281,0,0.007528,0,0,0,0,0,0,package://l5aurdf20260420/meshes/right_wheel_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://l5aurdf20260420/meshes/right_wheel_Link.STL,,right_wheel_Link-1/L5A-02403 10寸法兰件-1;right_wheel_Link-1/10寸轮毂-1;right_wheel_Link-1/10寸轮胎-1,right_wheel_coordinate,right_wheel_axis,right_wheel_joint,revolute,0.1675,-0.0135,-0.29012,0,0,0,right_knee_Link,0,1,0,90,16.433,-1000000,1000000,,,,,,,,
